"Snail_ID","Respirometry_Start_Time","Respirometry_Stop_Time","File_ID"
"64",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_8_CH9_64_O2.csv"
"Control-65",2022-09-03 01:55:00,2022-09-03 02:20:00,"RJD_TMP20_pH_8_CH10_Control-65_O2.csv"
"66",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_8_CH6_66_O2.csv"
"67",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_8_CH7_67_O2.csv"
"68",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_8_CH10_68_O2.csv"
"69",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_8_CH9_69_O2.csv"
"Control-70",2022-09-03 00:57:00,2022-09-03 01:17:00,"RJD_TMP22_pH_8_CH10_Control-70_O2.csv"
"65",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_8_CH6_71_O2.csv"
"72",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_8_CH7_72_O2.csv"
"73",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_8_CH10_73_O2.csv"
"50",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_8_CH9_74_O2.csv"
"Control-75",2022-09-03 00:16:00,2022-09-03 00:41:00,"RJD_TMP24_pH_8_CH10_Control-75_O2.csv"
"75",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_8_CH6_76_O2.csv"
"77",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_8_CH7_77_O2.csv"
"60",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_8_CH10_78_O2.csv"
"70",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_8_CH9_79_O2.csv"
"Control-80",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_8_CH1_Control-80_O2.csv"
