Snail_ID,Shell_Width_mm,Shell_Height_mm,Start_Date,Initial_Blotted_Wet_Mass_g,End_Date,Final_Blotted_Wet_Mass_g,Organism_Volume_mL,Mortality
47,20.39,21.43,8/16/22,4.563,9/2/22,4.9385,3,
48,20.43,18.48,8/16/22,3.932,9/2/22,4.1575,3,
49,21.6,20.71,8/16/22,4.741,9/2/22,5.3722,3.5,
50,20.47,19.35,8/16/22,4.584,9/2/22,5.0858,3,organism 50 replaced organism 74 when mortality occured
51,20.97,20.56,8/16/22,5.389,9/2/22,5.7583,3.5,
52,21.07,17.27,8/16/22,5.202,9/2/22,5.7894,3,
53,19.72,19.84,8/16/22,4.7,9/2/22,5.2136,3,
54,21.38,18.26,8/16/22,4.847,9/2/22,5.5494,3.5,
55,21.36,19.53,8/16/22,5.225,9/2/22,5.6593,3,organism 55 replaced organism 56 when mortality occured
56,20.15,16.66,8/16/22,4.809,9/2/22,NA,3,Mortality
57,20.4,18.53,8/16/22,3.566,9/2/22,4.2749,2.5,
58,21.46,19.46,8/16/22,4.966,9/2/22,5.4097,3.5,
59,22.01,21.55,8/16/22,5.431,9/2/22,5.8977,3.5,
60,20.86,20.42,8/16/22,4.443,9/2/22,5.0146,3,organism 60 replaced organism 78 when mortality occured
61,19.9,18.6,8/16/22,3.701,9/2/22,3.8821,2.5,
62,21.06,19.8,8/16/22,4.508,9/2/22,5.018,3,
63,21.26,19.44,8/16/22,4.233,9/2/22,4.7297,3,
64,21.3,20.45,8/16/22,4.874,9/2/22,5.3717,3.5,
65,21.03,16.94,8/16/22,4.299,9/2/22,4.4832,3,organism 65 replaced organism 71 when mortality occured
66,20.06,18.34,8/16/22,4.056,9/2/22,4.502,3,
67,20.38,16.96,8/16/22,3.81,9/2/22,4.21,2.5,
68,21.05,22.1,8/16/22,5.043,9/2/22,5.1763,3,
69,19.65,18.88,8/16/22,4.35,9/2/22,4.6683,3,
70,21.65,22.22,8/16/22,5.252,9/2/22,5.6883,3,organism 70 replaced organism 79 when mortality occured
71,20.84,17.7,8/16/22,4.276,9/2/22,NA,3,Mortality
72,21.53,17.43,8/16/22,4.478,9/2/22,4.996,3.5,
73,20.51,14.59,8/16/22,4.299,9/2/22,4.9279,3,
74,20.19,19.01,8/16/22,3.895,9/2/22,NA,3,Mortality
75,19.81,17.41,8/16/22,3.688,9/2/22,3.9459,3,organism 75 replaced organism 76 when mortality occured
76,19.7,19.04,8/16/22,3.846,9/2/22,NA,2,Mortality
77,20.21,18.59,8/16/22,4.094,9/2/22,4.4719,2.5,
78,21.12,18.13,8/16/22,3.991,9/2/22,NA,3,Mortality
79,19.99,19.86,8/16/22,3.801,9/2/22,NA,4,Mortality
80,20.64,18.13,8/16/22,3.996,9/2/22,NA,3,
